2014-06-05 21:00:33.791 [error] <0.57.0>@lager_handler_watcher:98 Lager fatally failed to install handler lager_console_backend into lager_event, NOT retrying: old_shell
2014-06-05 21:00:33.791 [warning] <0.52.0>@lager_console_backend:64 Lager's console backend is incompatible with the 'old' shell, not enabling it
2014-06-05 21:01:18.546 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],6,#Port<0.3424>,0,1,[1],10000,{r_pos,0,97,48,0},[{97,49},{97,50},{97,51},{97,52}],0,0,0,[],0,0}
2014-06-05 21:01:18.756 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,49}
2014-06-05 21:01:18.952 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,49}
2014-06-05 21:01:19.165 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,48}
2014-06-05 21:01:19.369 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,47}
2014-06-05 21:01:19.370 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_leave,[],[]}
2014-06-05 21:01:19.370 [error] <0.84.0>@pt:unpacket:9 Recv packet: {mc_map_enter,[],[]}
2014-06-05 21:01:19.370 [error] <0.84.0>@mod_map:handle:9 DBG "State"=={robot,1,[114,111,98,111,116,95,49],[],7,#Port<0.3424>,0,1,[1],10000,{r_pos,0,97,47,0},[{97,46},{97,45},{97,44},{97,43},{97,42}],0,0,0,[],0,0}
2014-06-05 21:01:19.570 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,46}
2014-06-05 21:01:19.765 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,45}
2014-06-05 21:01:19.966 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,45}
2014-06-05 21:01:20.179 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,44}
2014-06-05 21:01:20.380 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,43}
2014-06-05 21:01:20.580 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,42}
2014-06-05 21:01:20.783 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,41}
2014-06-05 21:01:20.980 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move,"a(a'a&"}
2014-06-05 21:01:20.980 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,40}
2014-06-05 21:01:20.980 [error] <0.84.0>@robot_util:send_msg:9 Send packet: {ms_map_move_check,97,39}
